Income,samptype,borough,a01,a03,a04,a05,a06,a07,a08,a09,a10,a11,a12,a13,b01,b02,b03,b04,b05_1,b05a_1,b05b_1,b05c_1,b05_2,b05a_2,b05b_2,b05c_2,b05_3,b05a_3,b05b_3,b05c_3,b05_4,c01_1,c01a_1,c01b_1,fcs2a,fcs3,fcs4,d01,d01_a,d01_b,d01_c,d01_d,d02,d03,d03_a,d03_b,d03_c,d03_d,d04,e01,e02,f01_1,f02,f02_1,f02_2,f05,f06,f07,f08,f10,f12,f13,f14,m01,m02,m03,m03_a,m04,m05,m06,m07,m08,m16,m17,m18,m19,m21,m23,m23_c,m23_d,m23_e,m23_f,m23_g,m24,m29,m29_a,m30,m30_a,n01,n02,n02_a,n03,n04,n04_a,n05,n06,n07,n08,n09,n09_a,n09_b,n09_c,n09_d,n09_e,n09_f,n09_g,n29,n30,n31,n32,n33,n42,n43,n51,n52,n53,n54,n55,o01,o02,o03,o04,o05,o06,o07,o08,o09,o10,o11,o14,o18_a,o18_b,o21,o21_a,o27,o28,p01,p08,p10,p19,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,wa1,wa2,wa3,wa4,wa5,r01,r02,r03,r04,r05,r07,r08,r09,r23,houpeo,hhadul,houchild,fampeo,famadul,famchild,w3cphhwt,w3cpppwt,partner,phones,intmo,educ_sp,educ,sex,sexedu,mleshi,mhisch,msmcol,mcolleg,fleshi,fhisch,fsmcol,fcolleg,race,white,black,hisp,orace,r_age,agepart,avage,age,ag18_24,ag25_34,ag35_44,ag45_64,ag65m,marrcoh,single,indnok,indwk,ftype,w3cninwt,w3cnfmwt,w3cnhhwt,hlth,hlth4,adgdhlth,adfrhlth,adprhlth,nodisab,educ_r,hs,lshs,hsged,smcol,college,assets,liquid,liquid10,liquid25,ownhome,mkthome,owehome,nethome,owncar,mktcar,owecar,netcar,brw000,brw00,emp,ftw_r,ftw_s,ftwork,fpovline,pov150,poor,pov4,affl,inc150,mead_inc,obs,abovemed,nhunger,utibill,rathou,houqual,rooms,averm,onerm,nbgood,nbsafe,crime,hi_r,hi_s,hi_k,hlthins,ratnyc,police,ratsch,kids,rage_c,age18_24,age45_59,age60m,immig2,efrouse,infants,preschs,schage,ch3_6,ch5_12,und12_n,cc_use,lowman,brookgz,statigz,proxi,psex,women,men,rwork,spwork,womwork,menwork,anywork,totwom,totmen,twomwk,tmenwk,emprate,empratem,empratew,singnok,singwk,marnok,marwk,qkey,cr05,unemp,xunemp,xunemp2,socsec,xsocsec,xsocsec2,pension,xpension,xpensio2,interest,xinter,xinter2,rental,xrental,xrental2,alimony,xalimon,xalim2,giftmon,xgiftmon,xgiftmo2,ssi,xssi,xssi2,foodstam,xfoodst,xfdstmp2,welfare,xwelf,xwelf2,sumch6,anych6,blackx,hispanic,immig,immigran,rdisab,cdisab,r_hs,r_post,r_hied,r_sex,r_agex,r_agesq,work_r,work_s,primary,prhseduc,prposths,prhied,sexpart,pr_sex,agepartx,tempagepx,tempagpmx,pr_age,pr_agesq,auxpoor,auxrich,auxold,sexprhs,sexprpos,sexprhie,sexprchi,sexprch6,workmos,workhrs,secondar,i_inter,r_inter,i_gift,r_gift,i_foodst,r_foodst,i_socsec,r_socsec,i_welf,r_welf,i_rental,r_rental,i_pens,r_pens,i_unemp,r_unemp,i_alimon,r_alimon,i_ssi,r_ssi,charity
84900,1,3,4,2,1,2,1,3,3,8,1,2,2,8,5,5,29,1,2,,,,,,,,,,,,,,,,,,,11,,,,,1,,,,,,,2,2,1,,,,2,1,8,1,2,500,2,1,2,,1,,4,1,2,2,2,,,,2,2,3,4300,,12,51600,1,2,1,1,2,,1,1,,,,,12,55,,,2,,3500,,,12,84000,1,1,1,2,,100000,2,,1,1,,2,,2,1,2,1,2,2,2,2,2,2,2,2,200,2,,,2,2,2,2,2,2,2,2,2,,2,2,2,2,3,2,2,2,2,2,2,2,1,2,72,97,,,1998,1,1,1,0,1,1,0,1.856402516,2549.905273,0,1,1,,4,1,4,0,0,0,1,0,0,0,0,1,1,0,0,0,29,,29,2,0,1,0,0,0,0,1,1,0,1,5716.141602,5716.141602,5716.141602,1,1,0,0,0,1,4,1,0,0,0,1,100000,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,1,8590,12885,0,34360,1,1,21000.00195,67,1,,,1,,4,4,1,1,1,1,1,,,1,1,0,,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,,0,1,1,,0,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,1,0,0,0,10003,35,0,0,0,700,700,26.45751381,0,0,0,200,200,14.14213562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,1,1,1,1,29,841,1,,1,1,1,1,0,1,0,,41.48656082,29,841,0,1,1,1,1,1,0,0,12,55,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21367,1,3,3,1,1,1,1,1,3,3,1,2,2,3,5,2,40,2,1,11,1,23,2,,,,,,,,,,,,,,,11,,,,,2,7,,,,5,2,3,2,,1,8,,,,,2,,,1,1,1,8,3,,3,3,2,2,2,,,,2,2,3,1200,,12,14400,1,1,2,,2,,1,1,,1,1,,12,40,12,50,3,,,1200,,12,14400,1,2,,2,,5000,2,,2,,1,2,,2,2,2,2,2,2,2,2,,2,2,2,,,,,2,2,2,2,2,2,2,2,2,,2,2,2,9,4,2,2,2,1,3,2,1,4,2,61,97,,,1997,1,2,2,0,2,2,0,0.928469062,1275.320435,1,1,0,3,4,2,8,0,0,0,0,0,0,0,1,3,0,0,1,0,40,41.53856659,40.76928329,3,0,0,1,0,0,1,0,1,0,3,2463.552734,1231.776367,1231.776367,1,2,1,0,0,1,4,1,0,0,0,1,5000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,11610,17415,0,46440,0,1,42400,380,0,1,1,0,1,3,1.5,1,1,1,1,0,1,,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,0,1,0,10004,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,1,1,1,0,40,1600,1,1,1,1,1,1,0,0,41.48656082,,41.48656082,40,1600,0,0,0,0,0,0,0,0,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27660,1,3,15,4,1,4,3,4,4,4,3,2,2,1,5,5,36,1,1,11,2,76,2,,,,,,,,,,,,,,,2,,2,,,2,,,,,,,4,1,,,,,,,,,2,120,2,2,1,2,4,,4,3,1,2,2,,,,2,2,9,,,,,,8,2,,2,,1,1,,,,,10,40,,,9,,,,,,,,2,,2,,4000,2,,2,,1,2,,2,2,2,1,2,2,2,2,,2,2,2,160,2,,,2,2,2,2,2,2,2,1,1,1,2,2,2,2,4,2,2,2,2,2,2,1,1,2,64,6,,,1980,1,2,2,0,1,1,0,1.335125923,1833.893555,0,1,0,,2,1,2,0,1,0,0,0,0,0,0,3,0,0,1,0,36,,36,3,0,0,1,0,0,0,1,1,0,1,5170.297363,5170.297363,2585.148682,0,3,0,1,0,0,2,1,0,1,0,0,4000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,0,8590,12885,0,34360,0,1,21000.00195,206,1,,,0,,4,2,1,0,0,1,0,,,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1,,0,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,1,0,0,0,10010,6,0,0,0,0,0,0,0,0,0,160,160,12.64911079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,0,0,1,0,0,1,36,1296,1,,1,1,0,0,0,1,0,,41.48656082,36,1296,0,1,0,1,0,0,0,0,10,40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111209,1,3,40,2,1,2,1,2,1,2,1,2,2,3,1,1,71,1,1,1,2,65,2,,,,,,,,,,,,,,,11,,,,,2,9,,,,,2,1,2,5,1,5,1,2,2,,2,,,2,2,1,2,35,,4,1,2,2,2,,,,2,2,3,1300,,12,15600,1,1,2,,2,,1,1,,2,2,2,98,8,,,4,,,,85000,,85000,1,2,,2,,500000,1,35000,1,1,,2,,2,1,2,1,1,1,2,2,,2,2,2,5000,2,,,2,2,2,2,2,2,2,1,1,1,2,2,2,2,3,2,2,2,2,2,2,2,1,1,29,1,1,1,,1,2,2,0,2,2,0,2.033387184,2793.006836,1,1,0,4,4,1,4,0,0,0,1,0,0,0,0,1,1,0,0,0,71,65,68,5,0,0,0,0,1,1,0,1,0,3,7031.195313,3515.597656,3515.597656,1,1,0,0,0,1,4,1,0,0,0,1,500000,1,1,1,0,0,0,0,1,35000,0,35000,1,1,1,0,0,0,11610,17415,0,46440,1,1,42400,152,1,,,1,,4,2,1,1,1,1,1,1,,1,1,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,0,1,0,10011,1,0,0,0,12000,12000,109.5445099,0,0,0,5000,5000,70.7106781,9000,9000,94.86833191,,164.6075745,12.82994843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,1,71,5041,1,0,1,1,1,1,1,1,65,65,41.48656082,71,5041,0,1,1,1,1,1,0,0,11,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100201,1,3,4,2,2,1,1,2,2,8,1,2,2,2,5,5,30,1,2,,,,,,,,,,,,,,,,,,,10,,,,,2,,,,,,,1,2,1,,,,2,1,360,1,2,1000,2,1,2,,0,1,3,1,2,2,2,,,,2,2,3,1000,,12,12000,1,2,1,1,2,,1,1,,,,,12,75,,,4,,,,135000,,135000,1,8,,8,,50000,2,,1,1,,1,80000,2,2,2,1,2,2,1,2,,2,2,2,100,2,1000,100,2,2,2,2,2,2,1,1,5,8,2,2,1,2,3,2,2,2,1,1,1,2,3,6,71,1,97,97,,1,1,1,0,1,1,0,1.536884308,2111.023438,0,1,1,,4,1,4,0,0,0,1,0,0,0,0,4,0,0,0,1,30,,30,2,0,1,0,0,0,0,1,1,0,1,7710.456055,7710.456055,7710.456055,1,1,0,0,0,1,4,1,0,0,0,1,50000,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,,1,8590,12885,0,34360,1,1,21000.00195,26,1,,,1,,3,3,1,1,1,1,1,,,1,1,1,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,1,1,,0,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,1,0,0,0,10028,1,0,0,0,0,0,0,0,0,0,100,100,10,0,0,0,0,0,0,100,100,10,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,1,30,900,1,,1,1,1,1,0,1,0,,41.48656082,30,900,0,1,0,1,1,1,0,0,12,75,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8957,1,3,38,1,3,3,1,4,3,4,1,2,2,1,2,5,99,2,1,5,1,31,2,5,,,,,,,,,,,,,,7,,,,2,2,,,,,,,5,1,4,,,,1,,,1,2,9,2,2,1,9,30,,6,3,2,2,9,,,,9,2,9,,,,,,8,2,,9,,2,2,9,,,,,,,,,,,,,,,,,,,,9,2,,9,,9,9,,9,9,2,9,2,2,9,9,,9,9,9,,,,,2,2,2,2,2,,2,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1,99,1,1,1,,1,3,3,0,1,1,0,2.556195736,3511.122803,0,,0,,4,2,8,0,0,0,0,0,0,0,1,2,0,1,0,0,41.32423019,,41.32423019,3,0,0,1,0,0,0,1,1,0,1,4490.463867,4490.463867,1496.821289,0,4,0,0,1,0,4,1,0,0,0,1,,,,,,,,,0,0,0,0,,,0,,,,8590,12885,1,34360,0,0,21000.00195,223,0,1,1,0,1,6,2,1,0,1,1,1,,,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,0,0,782,673,456,497,0.654982805,0.738484383,0.583120227,1,0,0,0,10037,1,,,,,,,0,0,0,,,,0,0,0,0,0,0,,,,,,,,,,,,,0,0,1,0,0,0,1,0,1,1,1,0,41.28620148,1707.692017,,,1,1,1,1,0,0,0,,41.48656082,42.23152161,1783.501465,0,0,0,0,0,0,0,0,0,42.29999924,,,1,,1,,1,,1,,1,0,0,0,0,,1,0,0,,1,
95500,1,3,6,2,1,1,2,2,1,2,1,2,2,2,1,1,32,2,1,1,1,30,2,,,,,,,,,,,,,,,11,,,,,1,11,,,,,2,2,2,1,1,1,,,1,600,1,1,2500,2,2,2,,6,,3,2,2,1,2,,,,2,2,3,1100,,12,13200,1,2,1,2,2,,1,1,,2,1,,12,40,12,45,4,,,,54000,,54000,1,1,1,2,,15000,1,25000,1,2,,1,20000,2,2,2,1,2,2,1,2,2,2,2,2,1500,2,20000,2000,2,1,1,2,1,2,2,1,2,2,2,2,2,1,4,2,1,2,1,1,1,2,1,4,69,1,1,1,,1,2,2,0,2,2,0,2.033387184,2793.006836,1,1,1,4,4,2,8,0,0,0,0,0,0,0,1,1,1,0,0,0,32,30,31,2,0,1,0,0,0,1,0,1,0,3,5334.109863,2667.054932,2667.054932,1,1,0,0,0,1,4,1,0,0,0,1,15000,1,1,0,0,0,0,0,1,25000,0,25000,1,1,1,1,1,1,11610,17415,0,46440,1,1,42400,303,1,,,1,,3,1.5,1,1,1,1,1,1,,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,0,1,0,10046,1,0,0,0,0,0,0,0,0,0,1500,1500,38.7298317,0,0,0,0,0,0,2000,2000,44.72135925,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,0,32,1024,1,1,1,1,1,1,2,0,30,30,41.48656082,32,1024,0,1,0,0,0,0,0,0,12,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5506,1,3,98,1,3,1,1,1,1,1,2,2,2,2,2,5,67,2,2,,,,,,,,,,,,,,,,,,,4,,,,,2,,,,,,,2,2,5,,,,,,,1,2,8,2,2,2,,98,,3,1,2,2,1,275000,,,,,,,,,,,,2,,2,,2,2,2,,,,,,,,,,,,,,,,,,,,8,2,,1,2,,2,,2,1,1,2,2,2,2,2,,2,2,2,,,,,2,2,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,1,34,1,1,1,,1,1,1,0,1,1,0,1.906602144,2618.858154,0,1,0,,2,2,6,0,0,0,0,0,1,0,0,2,0,1,0,0,67,,67,5,0,0,0,0,1,0,1,1,0,1,3983.071533,3983.071533,3983.071533,1,1,0,0,0,1,2,1,0,1,0,0,,,,,1,275000,0,275000,0,0,0,0,1,1,0,0,,0,8590,12885,1,34360,0,0,21000.00195,424,0,1,1,1,1,3,3,1,1,1,1,1,,,1,1,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,0,0,782,673,456,497,0.654982805,0.738484383,0.583120227,1,0,0,0,10052,1,0,0,0,,995.5078735,31.55167007,2580,2580,50.79370117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,67,4489,0,,1,1,0,0,0,0,0,,41.48656082,67,4489,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35650,1,3,50,1,3,1,1,2,1,1,2,2,2,2,5,5,51,2,2,,,,,,,,,,,,,,,,,,,9,,,,,2,,,,,,,2,2,,,,,,,,,2,1800,2,2,2,,5,,4,2,2,2,1,200000,25000,1,,,,,,,,,,2,,2,,2,1,,,,,7,40,,,4,,,,35000,,35000,1,2,,2,,30000,2,,1,1,,2,,2,2,2,1,2,2,2,2,,2,2,2,650,2,,,2,2,2,2,1,2,2,1,3,1,1,2,2,1,4,2,1,2,2,2,1,2,1,7,51,1,1,1,,1,1,1,0,1,1,0,2.546805859,3498.225098,0,1,0,,4,2,8,0,0,0,0,0,0,0,1,1,1,0,0,0,51,,51,4,0,0,0,1,0,0,1,1,0,1,4680.706055,4680.706055,4680.706055,1,1,0,0,0,1,4,1,0,0,0,1,30000,1,1,1,1,200000,25000,175000,0,0,0,0,1,1,0,0,,0,8590,12885,0,34360,1,1,21000.00195,353,1,,,1,,4,4,1,1,1,1,0,,,0,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,,0,0,0,782,673,456,497,0.654982805,0.738484383,0.583120227,1,0,0,0,10055,1,0,0,0,0,0,0,0,0,0,650,650,25.49509811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,0,51,2601,1,,1,1,1,1,0,0,0,,41.48656082,51,2601,0,1,0,0,0,0,0,0,7,40,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64000,1,3,34,2,1,3,2,3,2,2,2,2,1,8,5,5,34,1,2,,,,,,,,,,,,,4,2,1,,4,2,7,,,,5,2,,,,,,,2,2,1,,,,,1,360,2,,,,,1,8,2,,6,1,2,2,2,,,,2,1,3,422,,12,5064,1,1,2,,2,,1,1,,,,,12,32,,,4,,,,27000,,27000,1,1,1,1,1,7,2,,1,1,,1,283,2,2,2,2,2,2,1,2,,2,2,2,,,37000,37000,2,1,2,2,2,2,1,1,2,1,1,1,2,1,4,1,1,2,2,2,2,1,5,8,68,1,1,3,,1,2,1,1,2,1,1,0.208165824,285.9310608,0,1,0,,3,1,3,0,0,1,0,0,0,0,0,3,0,0,1,0,34,,34,2,0,1,0,0,0,0,1,0,1,2,1093.983398,1093.983398,1093.983398,1,1,0,0,0,1,3,1,0,0,1,0,175000,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,,0,11610,17415,0,46440,1,1,42400,266,1,,,1,,6,3,1,0,1,0,1,,1,1,1,0,1,1,2,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,,0,1,1,,0,1,1,782,673,456,497,0.654982805,0.738484383,0.583120227,0,1,0,0,10059,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37000,37000,192.3538361,0,0,0,0,0,0,0,0,0,1,1,,1,0,0,0,0,1,1,0,1,34,1156,1,,1,1,1,0,0,1,0,,41.48656082,34,1156,0,0,0,1,1,0,1,1,12,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
